Category,Name,Phone Number,Website,Address,Latitude,Longitude,Open Hours,Residency Required,Physician Referral Required,SSN Required,Insurance Required,Payment Required,Staff Speaks,In-Person Interpreter Available in Language,Hours of Operation Per Week
Clothing,Goodwill Almaden,(408) 265-5692,goodwillsv.org,"3060 Almaden Express Way, San Jose, CA 95118",37.277565,-121.878736,"9am-7pm Mon-Sat, 9am-6pm Sun",No,No,No,No,Yes,English,No,9am-6/7pm
Mental Health,Emergency Psychiatric Services,(408) 885-6100,sccgov.org/sites/bhd/Services/Emergency/EmergencyPsychiatricServices/Pages/default.aspx,"871 Enborg Ln, San Jose, CA 95128",37.311497,-121.934284,24/7,No,No,No,No,Yes,"English, Farsi, Korean, Mandarin, Spanish, Vietnamese.","Chinese, Farsi, Tagalog, Spanish, Vietnamese",24/7
Mental Health,Mental Health Urgent Care,(408) 885-7855,sccgov.org/sites/bhd/Services/Emergency/UrgentCare/Pages/default.aspx,"871 Enborg Ln, San Jose, CA 95128",37.311497,-121.934284,8am-10pm,No,No,No,No,No,"English, Farsi, Korean, Mandarin, Spanish, Vietnamese.","English, Farsi, Korean, Mandarin, Spanish, Vietnamese.",8am-10pm
Mental Health,National Alliance on Mental Illness,(408) 453-0400,namisantaclara.org,"1150 South Bascom Ave, San Jose, CA 95128",37.305120,-121.931277,Mon-Fri 10am-6pm,No,No,No,No,No,"English, Spanish","English, Spanish",10am-6pm
Mental Health,Eating Disorders Resource Center,(408) 559-5593,edrcsv.org,"2105 S Bascom Ave, Ste 220, Campbell, CA 95008",37.285113,-121.932191,Mon-Fri 9am-5pm,No,No,No,No,No,English,No,9am-5pm weekdays
Mental Health,Zephyr Self-Help Center,(408) 792-2140,sccgov.org/sites/bhd/info/PeerSupport/Self-HelpCenters/Pages/default.aspx,"1075 E Santa Clara St, San Jose, CA 95116",37.346897,-121.869477,Tues-Fri 9am-3pm,No,No,No,No,No,English,No,Tues-Fri 9am-3pm
Mental Health,Sourcewise,(408) 350-3200,mysourcewise.com,"2115 The Alameda, San Jose, CA 95126",37.343292,-121.929251,Mon-Fri 8am-5pm,No,No,No,No,No,English,No,Mon-Fri 8am-5pm
Mental Health,Uplift Family Services,(408) 379-9085,upliftfs.org,"251 Llewellyn Avenue, Campbell, CA 95008",37.291564,-121.959288,Open 24/7,No,No,No,No,No,"English, Spanish",Spanish,24/7
Mental Health,Bill Wilson Center,(408) 850-6125,billwilsoncenter.org,"3490 The Alameda, Santa Clara, CA 95050",37.353902,-121.941539,Mon-Fri 10am-6pm,No,No,No,No,No,English,No,Mon-Fri 10am-6pm
Mental Health,LGBT Youth Space,(408) 343-7940,youthspace.org,"452 South First St., San Jose, CA 95113",37.329462,-121.885317,Mon-Fri 3pm-9pm,No,No,No,No,No,English,No,Mon-Fri 3pm-9pm
Mental Health,Santa Clara County Public Health,(408) 794-0564,betterhealthrx.org,"725 E. Santa Clara St., Suite 202, San Jose, CA",37.343469,-121.875767,"MTW 4pm-8pm, Sat 9am-1pm",No,No,No,No,No,English,No,"MTW 4pm-8pm, Sat 9am-1pm"
Mental Health,Billy DeFrank LGBTQ+ Community Center,(408) 293-3040,defrankcenter.org,"938 The Alameda, San Jose, CA 95126",37.331477,-121.908013,"Mon: 6-9pm, Tues: 12-9pm, Wed: 10am-9pm, Thurs/Fri: 12-9pm, Sat 10am-4pm",No,No,No,No,No,English,No,"Mon: 6-9pm, Tues: 12-9pm, Wed: 10am-9pm, Thurs/Fri: 12-9pm, Sat 10am-4pm"
Reproductive Health,Planned Parenthood Gilroy,408-847-1739,plannedparenthood.org,"760 Renz Lane, Gilroy, CA 95020",37.004124,-121.555847,Mon-Fri 8:45am-5pm,No,No,No,No,No,"English, Spanish",Spanish,Mon-Fri 8:45am-5pm
Reproductive Health,Planned Parenthood Mountain View,650-948-0807,plannedparenthood.org,"225 San Antonio Road, Mountain View, CA, 94040",37.406119,-122.110229,M-F: 8:30am-5pm,No,No,No,No,No,"English, Spanish", Spanish; Tagalog; Hindi; Punjabi,Mon-Fri 8:30am-5pm
Reproductive Health,Planned Parenthood San Jose Central,408-287-7526,plannedparenthood.org,"1691 The Alameda, San Jose, CA 95126",37.337084,-121.919644,"Mon-Sat 8:30-5pm, Wed 8:30-7pm",No,No,No,No,No,"English, Spanish",Spanish; Vietnamese; Chinese; Tagalog,"Mon-Sat 8:30-5pm, Wed 8:30-7pm"
Reproductive Health,Planned Parenthood San Jose Blossom Hill,408-281-9777,plannedparenthood.org,"5440 Thornwood Drive,San Jose, CA 95123",37.253860,-121.860434,"Mon/Tues 8:30am-6:30pm, Wed-Fri 8:30am",No,No,No,No,No,"English, Spanish",Spanish,"Mon/Tues 8:30am-6:30pm, Wed-Fri 8:30am"
Reproductive Health,Planned Parenthood Eastside,408-729-7600,plannedparenthood.org,"3131 Alum Rock Avenue,San Jose, CA 95127",37.366526,-121.827425,"Mon/Thurs 8:30am-6pm, TWF 8:30-5pm",No,No,No,No,No,"English, Spanish","Spanish, Vietnamese","Mon/Thurs 8:30am-6pm, TWF 8:30-5pm"
Reproductive Health,Planned Parenthood Mar Monte,408-274-7100,plannedparenthood.org,"2470 Alvin Ave, San Jose, CA 95121",37.319732,-121.826666,"MTTHF: 8:40am-5pm, Wed: 8:40-6pm, Sat 8:40am-1pm",No,No,No,No,No,"English, Spanish",Spanish; Hindi; Punjab,"MTTHF: 8:40am-5pm, Wed: 8:40-6pm, Sat 8:40am-1pm"
Health,Gardner Health Services,(408)457-7100,gardnerfamilyhealth.org,"160 E. Virginia St., Suite 100, San Jose, CA 95112",37.325609,-121.877668,Mon-Fri 8:30-5pm,No,No,Yes,Yes,Yes,"English, Farsi, Korean, Mandarin, Spanish, Vietnamese.","English, Farsi, Korean, Mandarin, Spanish, Vietnamese.",Mon-Fri 8-5:30pm
Health,RotaCare,(408) 715-3088,https://www.rotacarebayarea.org/sanjose,"100 Oak Street, San Jose, CA 95110",37.321391,-121.881650,Wed 5pm-9pm,No,No,No,No,No,"English, Spanish",Spanish,Wed 5pm-9pm
Health,Children's Health Insurance Program (CHIP),(800) 318-2596,https://www.healthcare.gov/medicaid-chip/childrens-health-insurance-program/,"Children's Health Insurance Program, P.O. Box 138005, Sacramento, CA 95813",38.453904,-121.408987,8am-8pm,Yes,No,Yes,No,No,"Spanish, Vietnames, Khmer, Hmong, Armenian, Mandarin, Korean, Russian, Farsi",Yes,M-F 8am-8pm
Housing,Boccardo Regional Reception Center,(408) 294-2100,https://www.homefirstscc.org,"2011 Little Orchard St., San Jose, CA 95125",37.303572,-121.870506,Mon-Sat: 24 hours,No,No,,No,No,English,No,"M, T, TH, F: 8:30-4:30, W: 8:30-1"
